name,n_trials,n_sw_trials,n_vsw_trials,n_L_trials,n_R_trials,pct_correct,pct_sw_correct,pct_vsw_correct,pct_L_correct,pct_R_correct,task,subject,n_units,n_cells,n_mua,session
s0se52,156,126,88,79,77,0.6903225806451613,0.7142857142857143,0.8181818181818182,0.5949367088607594,0.7792207792207793,T3g,Li,21,7,14,Li_T3g_072618
s0se53,125,65,41,62,63,0.6854838709677419,0.7230769230769231,0.8292682926829268,0.5967741935483871,0.7619047619047619,T3g,Li,16,10,6,Li_T3g_073018
s0se54,60,26,21,27,33,0.65,0.6153846153846154,0.5714285714285714,0.4814814814814814,0.7878787878787878,T3g,Li,19,8,11,Li_T3g_080118
s0se56,58,32,15,30,28,0.5614035087719298,0.6875,0.8,0.4666666666666667,0.6428571428571429,T3g,Li,1,0,1,Li_T3g_080218
s0se58,107,46,35,54,53,0.6952380952380952,0.717391304347826,0.7714285714285715,0.5925925925925926,0.7735849056603774,T3g,Li,11,3,8,Li_T3g_080318
s0se59,125,69,57,65,60,0.7903225806451613,0.855072463768116,0.8596491228070176,0.6923076923076923,0.8833333333333333,T3g,Li,2,0,2,Li_T3g_080618
s1se1,95,39,36,53,42,0.8936170212765957,0.9487179487179488,0.9444444444444444,0.8301886792452831,0.9523809523809524,T3g,Ne,21,3,18,NE_T3g_052818
s1se3,201,77,67,97,104,0.86,0.9090909090909092,0.9253731343283582,0.7835051546391752,0.9230769230769232,T3g,Ne,21,3,18,NE_T3g_052918
s1se7,198,101,89,108,90,0.9086294416243654,0.9603960396039604,0.9662921348314608,0.8611111111111112,0.9555555555555556,T3g,Ne,30,4,26,NE_T3g_053118
s1se9,23,11,9,12,11,0.782608695652174,0.9090909090909092,1.0,0.75,0.8181818181818182,T3g,Ne,20,7,13,Ne_T3g_060118
s1se12,231,121,106,122,109,0.8869565217391304,0.975206611570248,0.9716981132075472,0.7868852459016393,0.9908256880733946,T3g,Ne,2,0,2,NE_T3g_060418
s1se13,190,99,58,100,90,0.582010582010582,0.5555555555555556,0.5862068965517241,0.37,0.8111111111111111,T3i,Ne,5,0,5,NE_T3i_060518
s1se15,177,64,36,107,70,0.5819209039548022,0.640625,0.75,0.5046728971962616,0.7,T3i,Ne,6,2,4,NE_T3i_060618
s1se17,70,30,21,33,37,0.6956521739130435,0.7333333333333333,0.7142857142857143,0.5151515151515151,0.8378378378378378,T3i,Ne,4,0,4,Ne_T3i_060818
s1se19,172,70,38,105,67,0.5087719298245614,0.5,0.4210526315789473,0.3523809523809524,0.746268656716418,T3i,Ne,28,9,19,NE_T3i_061118
s1se21,243,115,95,123,120,0.8388429752066116,0.8521739130434782,0.8842105263157894,0.7479674796747967,0.925,T3g,Ne,14,6,8,NE_T3g_061218
s1se23,210,104,89,99,111,0.8086124401913876,0.8173076923076923,0.8651685393258427,0.7474747474747475,0.8558558558558559,T3g,Ne,20,3,17,NE_T3g_061318
s1se25,250,139,118,127,123,0.8554216867469879,0.8633093525179856,0.8898305084745762,0.8661417322834646,0.8373983739837398,T3g,Ne,23,5,18,NE_T3g_061418
s1se28,240,112,101,128,112,0.895397489539749,0.9375,0.9603960396039604,0.890625,0.8928571428571429,T3g,Ne,8,4,4,NE_T3g_061518
s1se30,236,133,120,116,120,0.8936170212765957,0.924812030075188,0.9333333333333332,0.8362068965517241,0.9416666666666668,T3g,Ne,11,2,9,NE_T3g_061818
s1se33,176,95,74,87,89,0.7873563218390804,0.8315789473684211,0.8648648648648649,0.6896551724137931,0.8651685393258427,T3g,Ne,7,0,7,NE_T3g_062018
s1se34,150,83,65,71,79,0.7837837837837838,0.8313253012048193,0.8923076923076924,0.8450704225352113,0.7088607594936709,T3g,Ne,8,1,7,NE_T3g_062518
s1se36,99,43,33,42,57,0.7959183673469388,0.813953488372093,0.8181818181818182,0.7857142857142857,0.7894736842105263,T3g,Ne,9,2,7,NE_T3g_062618
s1se39,101,41,35,37,64,0.87,0.902439024390244,0.9142857142857144,0.918918918918919,0.828125,T3gj,Ne,5,0,5,NE_T3gj_062718
s1se43,43,17,15,20,23,0.9047619047619048,0.9411764705882352,0.9333333333333332,0.8,0.9565217391304348,T3gj,Ne,3,0,3,NE_T3gj_062818
s1se45,48,26,23,25,23,0.875,0.9230769230769232,0.9130434782608696,0.8,0.9565217391304348,T3j,Ne,2,0,2,NE_T3j_062918
s1se46,196,78,54,99,97,0.6307692307692307,0.6666666666666666,0.7222222222222222,0.5555555555555556,0.7010309278350515,T3i,Ne,7,1,6,NE_T3i_062918
s1se47,62,33,24,29,33,0.7704918032786885,0.7272727272727273,0.7916666666666666,0.8275862068965517,0.696969696969697,T3g,Ne,9,0,9,NE_T3g_062918
s1se48,189,87,53,97,92,0.6042780748663101,0.632183908045977,0.6981132075471698,0.6494845360824743,0.5434782608695652,T3i,Ne,5,2,3,NE_T3i_070218
s1se49,71,61,32,34,37,0.4929577464788732,0.4754098360655737,0.6875,0.5,0.4864864864864865,T3i,Ne,14,1,13,NE_T3i_070518
s1se50,81,30,26,34,47,0.7125,0.8333333333333334,0.8076923076923077,0.9705882352941176,0.5106382978723404,T3g,Ne,11,3,8,NE_T3g_070518
s1se51,129,70,50,71,58,0.746031746031746,0.7714285714285715,0.76,0.8309859154929577,0.603448275862069,T3g,Ne,6,1,5,NE_T3g_070618
s1se52,47,21,18,21,26,0.8478260869565217,0.8095238095238095,0.7777777777777778,0.8095238095238095,0.8461538461538461,T3g,Ne,7,1,6,NE_T3g_071018
s1se53,186,97,65,93,93,0.644808743169399,0.7010309278350515,0.7538461538461538,0.5376344086021505,0.7311827956989247,T3i,Ne,23,8,15,NE_T3i_071018
s1se55,119,83,55,62,57,0.6495726495726496,0.6506024096385542,0.7818181818181819,0.6612903225806451,0.6140350877192983,T3i,Ne,1,0,1,NE_T3i_072518
s1se56,45,20,20,24,21,0.8444444444444444,0.85,0.85,0.8333333333333334,0.8571428571428571,T3g,Ne,14,2,12,NE_T3g_072518
s2se0,121,53,35,53,68,0.65,0.6415094339622641,0.5428571428571428,0.3773584905660377,0.8529411764705882,T3g,Cl,22,7,15,Cl_T3g_010218
s2se2,110,48,31,60,50,0.7363636363636363,0.7916666666666666,0.935483870967742,0.6833333333333333,0.8,T3g,Cl,11,4,7,Cl_T3g_010318
s2se7,33,20,15,16,17,0.696969696969697,0.8,0.9333333333333332,0.75,0.6470588235294118,T3g,Cl,35,6,29,Cl_T3g_112318
s2se9,76,37,19,42,34,0.6111111111111112,0.6486486486486487,0.6842105263157895,0.5238095238095238,0.6470588235294118,T3g,Cl,42,14,28,Cl_T3g_112818
s2se11,99,40,30,52,47,0.7346938775510204,0.8,0.9,0.7884615384615384,0.6595744680851063,T3g,Cl,42,12,30,Cl_T3g_112918
s2se12,84,45,34,40,44,0.7439024390243902,0.8444444444444444,0.9411764705882352,0.85,0.6136363636363636,T3g,Cl,44,10,34,Cl_T3g_113018
